Date,Supply,AddressCount,Uncles,BtcPrice
2019-09-07,0.979275592555272,0.9685152735949628,0.14720812182741114,0.5889746578098787
2019-09-08,0.9885466543507442,0.9697278968313258,0.15380710659898478,0.616830684484768
2019-09-09,0.9889265991002252,0.9707554417406716,0.16294416243654825,0.6261177688002049
2019-09-10,0.9893070830275464,0.9931301507268318,0.14619289340101524,0.6207974244934437
2019-09-11,0.989692925363958,0.9730477242583055,0.15786802030456853,0.5802781421650351
2019-09-12,0.9900732283944792,0.9742958179394862,0.14263959390862946,0.14060913705583758
2019-09-13,0.9904576182876536,0.9756958493848591,0.14822335025380712,0.5844434804877157
2019-09-14,0.9908387713575059,0.9770713367285516,0.1487309644670051,0.5582441818533403
2019-09-15,0.9912231419316048,0.9781940452661791,0.16294416243654825,0.5141605824156872
2019-09-16,0.9916027002995712,0.979275592555272,0.14263959390862946,0.5274353118254843
2019-09-17,0.9919868776829124,0.9803543948684535,0.16802030456852793,0.5291181712231043
2019-09-18,0.992370326210216,0.9814562683694124,0.1401015228426396,0.5229773023032178
2019-09-19,0.9927513264837424,0.9825277328933304,0.14111675126903553,0.5279213550676541
2019-09-20,0.9931301507268318,0.9834904562008028,0.1598984771573604,0.9925240915823588
2019-09-21,0.9935129564557976,0.9845679998421036,0.1634517766497462,0.5509117230494248
2019-09-22,0.9938959782071556,0.985751097849768,0.1568527918781726,0.5189739783945939
2019-09-23,0.9942741473579502,0.9867165393528986,0.132994923857868,0.5170663893258632
2019-09-24,0.994659557649578,0.9877122961021852,0.1730964467005076,0.5318933213477509
2019-09-25,0.995033004164501,0.9887606492679472,0.13451776649746194,0.51842521989537
2019-09-26,0.9954211191267284,0.9898010219183784,0.14060913705583758,0.5187022122806926
2019-09-27,0.9958003701457631,0.9907238962097024,0.1634517766497462,0.5310100814775714
2019-09-28,0.9961808558293636,0.9915947766402391,0.1487309644670051,0.5212369539199648
2019-09-29,0.9965635315936384,0.9925240915823588,0.17461928934010154,0.4974365138679113
2019-09-30,0.9969500097032692,0.9934281795263522,0.1649746192893401,0.4849770827998182
2019-10-01,0.9973328119196759,0.9942369833309262,0.17461928934010154,0.4899106830214121
2019-10-02,0.9977144374287436,0.9950336289007348,0.15939086294416244,0.4903810474493183
2019-10-03,0.998095581717198,0.9957737413569078,0.16446700507614215,0.4974312875964901
2019-10-04,0.9984785964434376,0.9965460035065528,0.16294416243654825,0.5298080390507001
2019-10-05,0.9988574944502706,0.9974295376065316,0.14060913705583758,0.5435792642455093
2019-10-06,0.9992358480104246,0.9982170243298863,0.13959390862944165,0.541274478548769
2019-10-07,0.9996189083999338,0.9991301238289432,0.15583756345177666,0.5412065370202936
2019-10-08,0.9845679998421036,0.992370326210216,0.17563451776649747,0.527743661839334